producto,categoria,precio,Rubro,categoria,,569,electro
ESTERILIZADOR XIAOMI DE CELULARES UV,accesorios,42.84489,001-0010,accesorios,,IT-DBGS,#N/A
EXTENSOR HDMI IP LENKENG 120M . TRANSMISOR,accesorios,51.233325,001-0010,accesorios,,IT-ETS44,#N/A
FICHA BMC,accesorios,6.1226,001-0010,accesorios,,IT-F22,#N/A
FILTRO  DE CRISTAL 14/15,accesorios,2.467465,001-0010,accesorios,,IT-T22,#N/A
FILTRO  DE CRISTAL 16/18,accesorios,4.363645,001-0010,accesorios,,IT-T4E,#N/A
FILTRO  DE CRISTAL 17/18,accesorios,6.08267,001-0010,accesorios,,IT-TS5C,#N/A
FRENTE GABINETE 0656 BLACK,accesorios,0.838695,001-0010,accesorios,,IT-TSL42,#N/A
FUENTE  PERFORMANCE CARGA RAPIDA 3.0 USB BCO  12V,accesorios,8.6515,001-0010,accesorios,,,
FUNDA P/ TABLET SILICONA BUMPER 7 PR7TNF/PR7R AZUL,accesorios,3.512795,001-0010,accesorios,,,
FUNDA P/ TABLET SILICONA BUMPER CX9011 AZUL,accesorios,2.77134,001-0010,accesorios,,,
GIFT CX LAMPARA + MIC USB INTEL,accesorios,59.01654,001-0010,accesorios,,,
GIFT CX SET ESCOLAR - CE- T242,accesorios,4.16603,001-0010,accesorios,,,
HP INFRA C3277A P/HP 340C,accesorios,102.76651,001-0010,accesorios,,,
IBM 19-inch Rack Mount Kit,accesorios,21.27125,001-0010,accesorios,,,
INTEL POWER DISTRIB BOARD FRIGPDB,accesorios,60.14789,001-0010,accesorios,,,
KIT DE ENSAMBLE IBM 8 x 2.5 in HDD X3650M4,accesorios,116.991875,001-0010,accesorios,,,
KIT DE MONTAJE RACK IBM 3572,accesorios,134.9205,001-0010,accesorios,,,
KIT RACK QNAP B01,accesorios,254.80664,001-0010,accesorios,,,
KIT SCREEN CLEAN,accesorios,4.16603,001-0010,accesorios,,,
MICROFONO CONDENSER KIT STREAM  BRAZO +FILTRO USB,accesorios,65.8845,001-0010,accesorios,,,
MICROFONO CONDENSER KIT STREAM BRAZO+FILTRO JACK,accesorios,63.888,001-0010,accesorios,,,
MICROFONO PRIMUS GAMING MIC ETHOS 300P USB,accesorios,132.88704,001-0010,accesorios,,,
MOUSE PAD GAMING GREENFOX GFP3100 RGB,accesorios,18.75379,001-0010,accesorios,,,
MOUSE PAD PRIMUS ARENA L BLACK 400X3200X3 MM,accesorios,15.3065,001-0010,accesorios,,,
MOUSE PAD PRIMUS ARENA M BLACK 320X270X3 MM,accesorios,10.59476,001-0010,accesorios,,,
MOUSE PAD TRIPLE KIT C/ GEL CRISTAL,accesorios,6.42873,001-0010,accesorios,,,
ORGANIZADOR BANDEJA MULTIM ALLSOP NATURL,accesorios,1.1979,001-0010,accesorios,,,
ORGANIZADOR P-MULTIMEDIA ALLSOP,accesorios,1.91664,001-0010,accesorios,,,
PINNACLE CONTROL REMOTO P/DAZZLE PCI -33664-,accesorios,9.13066,001-0010,accesorios,,,
PINNACLE RECEPTOR AIRDA,accesorios,7.7198,001-0010,accesorios,,,
PORTA CD CD/ 20 X20 42X20X18 HAYA/GRAFIT,accesorios,14.641,001-0010,accesorios,,,
PORTADIS. 3 1/2 X30 ALLSOP ARCHIVO,accesorios,4.77829,001-0010,accesorios,,,
PORTADIS. 3 1/2 X30 ALLSOP DISKFILE,accesorios,4.55202,001-0010,accesorios,,,
PORTADIS. 3 1/2 X80 ALLSOP ARCHIVO,accesorios,5.00456,001-0010,accesorios,,,
PORTAROLLO P/CALC CIFRA 461PD,accesorios,3.3275,001-0010,accesorios,,,
PORTAROLLO P/CALC CIFRA PR220/30/50,accesorios,5.9895,001-0010,accesorios,,,
SCX-DSK10T/SEE TALL STAND P/SCX-6545N,accesorios,6.62838,001-0010,accesorios,,,
SENSOR PUERTA / VENTANA XIAOMI MI WINDOWS&DOOR 2,accesorios,15.58271,001-0010,accesorios,,,
SOPORTE DE TECHO DOBLE INTELAID (32-55),accesorios,159.33401,001-0010,accesorios,,,
SOPORTE MON ESCRITORIO P/2 MON 17-32`,accesorios,329.30271,001-0010,accesorios,,,
SOPORTE P/ MONITOR ESCRITORIO INTELAID (13-32),accesorios,117.46075,001-0010,accesorios,,,
SOPORTE P/TABLET-NB PLEGABLE 5 POSIC,accesorios,37.86695,001-0010,accesorios,,,
SOPORTE P/TABLET-NB PLEGABLE 6 POSIC,accesorios,33.15521,001-0010,accesorios,,,
SOPORTE TV/MON ESCRITORIO INTELAID 13`-32`,accesorios,73.65754,001-0010,accesorios,,,
SOPORTE TV/MON EXTENSIBLE PARED INTELAID 23`-55`,accesorios,54.01198,001-0010,accesorios,,,
SOPORTE TV/MON FIJO PARED INTELAID 32`-55`,accesorios,49.45996,001-0010,accesorios,,,
SOPORTE TV/MON FIJO PARED INTELAID 37`-70`,accesorios,58.65717,001-0010,accesorios,,,
SOPORTE TV/MON MOVIBLE PARED INTELAID 10`- 42` CD,accesorios,10.75448,001-0010,accesorios,,,
SOPORTE TV/MON MOVIBLE PARED INTELAID 35`-55`,accesorios,39.47746,001-0010,accesorios,,,
STRAP PARA  AMAZFIT GTS 2  BLACK NEGRO,accesorios,6.12612,001-0010,accesorios,,,
STRAP PARA  AMAZFIT ZEPP E CIRCEL BLACK NEGRO,accesorios,6.12612,001-0010,accesorios,,,
TECLADO CX USB BLACK(KB213),accesorios,7.378085,001-0010,accesorios,,,
TECLADO DELL KB216 USB BLACK *** INGLES ***,accesorios,20.092215,001-0010,accesorios,,,
TECLADO PERFORMANCE K820D USB BLACK,accesorios,7.353775,001-0010,accesorios,,,
TERMOMETRO DIGITAL INFRAROJO SIN CONTACTO,accesorios,36.14996,001-0010,accesorios,,,
TERMOMETRO DIGITAL INFRAROJO SIN CONTACTO,accesorios,32.92894,001-0010,accesorios,,,
TOUCH PEN CX P/TABLET SMARTPHONE SILVER ALUMINIO,accesorios,3.98684,001-0010,accesorios,,,
ALT. ARMOR P/EPSON K11431 S020193 -SIN CAJA,impresion,2.74703,001-0011,impresion,,,
CANON  BCI-6 GREEN S800-BJC8200/ IP9900 SIN CAJA,impresion,1.519375,001-0011,impresion,,,
EPSON  T073420AL  S/CAJA VENCIDO,impresion,0.07293,001-0011,impresion,,,
PC DELL OPTI 3090 MFF I5-10500T 8GB 256GB UBUNTU,pc,1011.770045,001-0014,pc,,,
PC DELL OPTI 3090 MFF I7-10700T 8GB 512GB W10PRO,pc,1628.21087,001-0014,pc,,,
PC DELL OPTI 3090 SFF I5-12500 8G 256GB W10PRO,pc,1427.19148,001-0014,pc,,,
PC DELL OPTI 7090 SFF I7-12700 16G 512G W10PRO,pc,2030.237495,001-0014,pc,,,
PC DELL VOSTRO SFF 3681 I3-10100 4G 1TB W10PRO,pc,930.088445,001-0014,pc,,,
PC DELL VOSTRO SFF 3681 I3-10105 8G 256G W10PRO,pc,1057.715945,001-0014,pc,,,
PC HP 400 SFF I5-10500 SSD 512G 8GB W10PRO,pc,1473.052295,001-0014,pc,,,
PC HP 400 SFF I7-10700 SSD 512G 8GB W10PRO,pc,1843.415145,001-0014,pc,,,
PC LENOVO NEO 50S I5 12400 8GB SSD256 DVRW G36M OS,pc,1008.901465,001-0014,pc,,,
PC LENOVO NEO 50S I7 12700 8GB SSD256 DVRW G36M OS,pc,1293.12183,001-0014,pc,,,
